GEO.id,GEO.id2,GEO.display-label,rescen42010,resbase42010,respop72010,respop72011,respop72012,respop72013,respop72014,respop72015,respop72016
Id,Id2,Geography,"April 1, 2010 - Census","April 1, 2010 - Estimates Base",Population Estimate (as of July 1) - 2010,Population Estimate (as of July 1) - 2011,Population Estimate (as of July 1) - 2012,Population Estimate (as of July 1) - 2013,Population Estimate (as of July 1) - 2014,Population Estimate (as of July 1) - 2015,Population Estimate (as of July 1) - 2016
0500000US36025,36025,"Delaware County, New York",47980,47979,47877,47654,47330,46874,46600,46074,45523
0500000US36027,36027,"Dutchess County, New York",297488,297448,297757,298289,297213,296708,295903,295228,294473
0500000US36029,36029,"Erie County, New York",919040,919130,919220,920088,920792,922150,923702,922957,921046
0500000US36031,36031,"Essex County, New York",39370,39361,39288,39479,39114,38832,38572,38371,38102
0500000US36033,36033,"Franklin County, New York",51599,51606,51624,51568,51788,51242,51092,50502,50409
0500000US36035,36035,"Fulton County, New York",55531,55524,55468,55264,55033,54521,54145,53960,53828
0500000US36037,36037,"Genesee County, New York",60079,59944,59939,59923,59762,59262,58949,58810,58482
0500000US36039,36039,"Greene County, New York",49221,49218,49118,48992,48711,48416,48015,47695,47508
0500000US36041,36041,"Hamilton County, New York",4836,4843,4834,4834,4797,4760,4689,4698,4542
0500000US36043,36043,"Herkimer County, New York",64519,64468,64426,64615,64527,64122,63602,62924,62613
0500000US36045,36045,"Jefferson County, New York",116229,116232,116571,118161,120730,119112,118724,117260,114006
0500000US36047,36047,"Kings County, New York",2504700,2504706,2510240,2543667,2572282,2595344,2612544,2624941,2629150
0500000US36049,36049,"Lewis County, New York",27087,27074,27063,27087,27267,27168,27214,27022,26865
0500000US36051,36051,"Livingston County, New York",65393,65217,65234,64890,64854,64723,64692,64583,64257
0500000US36053,36053,"Madison County, New York",73442,73452,73431,72970,72490,72547,72306,71771,71329
0500000US36055,36055,"Monroe County, New York",744344,744402,744959,747714,748947,750367,750089,749048,747727
0500000US36057,36057,"Montgomery County, New York",50219,50257,50286,49932,49848,49789,49747,49673,49276
0500000US36059,36059,"Nassau County, New York",1339532,1339866,1341879,1346815,1350748,1354258,1357799,1359702,1361500
0500000US36061,36061,"New York County, New York",1585873,1585874,1588530,1609533,1625121,1630453,1634468,1641168,1643734
0500000US36063,36063,"Niagara County, New York",216469,216487,216489,215729,214841,214267,213484,212522,211758
0500000US36065,36065,"Oneida County, New York",234878,234889,234836,234292,234061,233800,233213,232025,231190
0500000US36067,36067,"Onondaga County, New York",467026,467069,467522,467913,467712,469328,468742,468275,466194
0500000US36069,36069,"Ontario County, New York",107931,108097,108218,108750,108801,109285,109684,109654,109828
0500000US36071,36071,"Orange County, New York",372813,372827,373484,374358,374100,374956,375814,377130,379210
0500000US36073,36073,"Orleans County, New York",42883,42876,42846,42693,42465,42328,41947,41604,41346
0500000US36075,36075,"Oswego County, New York",122109,122104,122129,121999,121551,121321,120744,119962,118987
0500000US36077,36077,"Otsego County, New York",62259,62239,62192,61982,61805,61558,60907,60530,60097
0500000US36079,36079,"Putnam County, New York",99710,99776,99827,99958,99717,99678,99478,99265,98900
0500000US36081,36081,"Queens County, New York",2230722,2230545,2235310,2259756,2278024,2297598,2314149,2327228,2333054
0500000US36083,36083,"Rensselaer County, New York",159429,159406,159347,159694,159669,159862,160092,160101,160070
0500000US36085,36085,"Richmond County, New York",468730,468730,469706,471152,470978,472515,473142,473969,476015
0500000US36087,36087,"Rockland County, New York",311687,311690,312533,315772,317763,320321,322855,325491,326780
0500000US36089,36089,"St. Lawrence County, New York",111944,111941,111821,112468,112621,112253,111800,110935,110038
0500000US36091,36091,"Saratoga County, New York",219607,219613,220094,221166,222553,224207,224692,226140,227053
